"DPT_EXE","DEPART","ARRIVEE","NBRE"
"70",21278,39436,1
"39",39258,39393,1
"21",21683,21515,1
"21",21240,21030,1
"21",71076,21186,1
"71",71306,21231,1
"13",13004,84007,1
"21",69194,21127,1
"21",21545,21343,1
"91",91570,91345,1
"71",71475,21401,1
"21",21295,21661,1
"21",21054,61420,1
"21",21076,21171,1
"21",21231,89,1
"89",21647,21054,1
"21",21154,21490,1
"21",54547,21353,1
"21",71076,21027,1
"39",39505,39300,1
"21",21054,21450,1
"39",71475,71558,1
"21",21137,21603,1
"83",83069,83075,1
"10",21305,10333,1
"89",21633,21603,1
"17",17197,17243,1
"21",21278,21650,1
"21",71014,71129,1
"25",25254,25462,1
"25",21231,21152,1
"25",21231,21504,1
"89",89025,89246,1
"21",21434,25056,1
"21",21515,21398,1
"21",75056,21540,1
"78",92051,92051,1
"21",52291,25056,1
"21",21603,21593,1
"21",0,69081,1
"21",21125,10387,1
"91",91666,91471,1
"25",21162,21194,1
"21",21548,21584,1
"21",39198,21166,1
"39",39198,21180,1
"75",93005,75105,1
"33",33063,33249,1
"20",20251,20123,1
"21",21261,21355,1
"90",70157,90097,1
"52",52446,52269,1
"21",21408,21575,1
"21",21617,21399,1
"25",21231,21480,1
"21",21317,21054,1
"21",21617,21511,1
"25",25056,71118,1
"21",21408,9253,1
"73",73257,38516,1
"74",74012,1143,1
"25",21231,21013,1
"30",34172,34172,1
"69",42218,69204,1
"25",21278,21606,1
"52",21231,52529,1
"11",11310,11206,1
"21",21408,21239,1
"21",92033,21416,1
"71",71073,21340,1
"94",93048,93008,1
"94",93008,93048,1
"71",71182,21607,1
"69",69123,69163,1
"70",21166,21277,1
"71",69266,71184,1
"93",93048,93047,1
"54",54654,21231,1
"21",21501,21582,1
"94",94037,94043,1
"21",21160,21000,1
"25",21515,21166,1
"21",21265,89291,1
"21",21000,21023,1
"10",10033,21603,1
"21",21522,70279,1
"21",89418,21603,1
"21",21023,21062,1
"69",69500,21700,1
"71",71109,21231,1
"71",21616,21231,1
"94",94028,94076,1
"21",21603,21085,1
"89",89412,89024,1
"01",1333,1248,1
"06",6065,6088,1
"77",75113,77288,1
